oxalate	ln(oxalate)	flame
4.2	1.435085	4.15
5.7	1.740466	5.65
1.16	0.14842	1.15
4.7	1.547563	4.65
1.31	0.270027	1.3
2.73	1.004302	2.65
1.44	0.364643	1.48
5.8	1.757858	5.7
0.83	-0.18633	0.68
0.27	-1.30933	0.27
6.62	1.890095	6.6
7.09	1.958685	6.8
1.24	0.215111	1.22
1.2	0.182322	1.18
2.72	1.000632	2.6
3.12	1.137833	3.15
4.7	1.547563	4.6
2.18	0.779325	2.16
3.75	1.321756	3.7
2.34	0.850151	2.35
4.43	1.4884	4.18
2.66	0.978326	2.6
2.54	0.932164	2.5
4.17	1.427916	4.08
2.08	0.732368	2.05
1.94	0.662688	1.9
2.11	0.746688	2.12
1.11	0.10436	1.13
2.45	0.896088	2.45
3.04	1.111858	2.95
2.98	1.091923	3
1.87	0.625938	1.85
4.77	1.562346	4.65
3.62	1.286474	3.65
1.73	0.548121	1.65
4.62	1.530395	4.35
3.46	1.241269	3.75
5.35	1.677097	5.3
2.34	0.850151	2.35
2.91	1.068153	2.95
1.55	0.438255	1.56
0.87	-0.13926	0.89
1.62	0.482426	1.77
1.78	0.576613	1.83
1.8	0.587787	1.92
1.9	0.641854	1.9
1.9	0.641854	1.83
1.75	0.559616	1.8
1.81	0.593327	1.77
1.78	0.576613	1.88
1.23	0.207014	1.23
1.23	0.207014	1.18
1.16	0.14842	1.2
1.26	0.231112	1.23
1.2	0.182322	1.2
1.86	0.620576	1.8
2.38	0.8671	2.35
5.55	1.713798	5.3
0.68	-0.38566	0.7
0.8	-0.22314	0.74
3.44	1.235471	3.25
1.41	0.34359	1.2
1.86	0.620576	1.8
1.27	0.239017	1.23
2.21	0.792993	2.15
2.69	0.989541	2.65
6.16	1.818077	5.9
4.05	1.398717	3.9
1.23	0.207014	1.18
3.55	1.266948	3.35
2.42	0.883768	2.4
1.26	0.231112	1.2
3.46	1.241269	3.25
1.91	0.647103	1.87
1.93	0.65752	1.87
5.15	1.638997	4.9
2.12	0.751416	2
2.84	1.043804	2.85
2.28	0.824175	2.2
4.72	1.551809	5.1
2.94	1.07841	2.85
1.31	0.270027	1.33
3.39	1.22083	3.35
2.56	0.940007	2.55
1.39	0.329304	1.45
1.39	0.329304	1.42
1.28	0.24686	1.3
1.3	0.262364	1.3
1.24	0.215111	1.25
1.25	0.223144	1.2
1.21	0.19062	1.22
1.28	0.24686	1.3
1.2	0.182322	1.2
1.35	0.300105	1.35
2.13	0.756122	2.1
1.66	0.506818	1.67
1.86	0.620576	1.72
0.86	-0.15082	0.86
0.89	-0.11653	0.82
1.02	0.019803	0.95
0.88	-0.12783	0.89
1.9	0.641854	1.83
2.08	0.732368	2.07
1.84	0.609766	1.78
1.22	0.198851	1.2
1.26	0.231112	1.28
1.02	0.019803	1
1.23	0.207014	1.2
5.16	1.640937	5.2
1.52	0.41871	1.5
2.36	0.858662	2.25
3.04	1.111858	3.06
4.68	1.543298	4.6
3	1.098612	2.96
3.03	1.108563	3.05
1.23	0.207014	1.22
1.07	0.067659	1.06
0.35	-1.04982	0.36
